line_name,station_name,town_code
6号線桜通線,徳重,23114035002
愛知環状鉄道線,保見,23211210112
愛知環状鉄道線,山口,23204106000
愛知環状鉄道線,大門,23202112002
愛知環状鉄道線,高蔵寺,23206052004
愛知環状鉄道線,永覚,23211027116
愛知環状鉄道線,新上挙母,23211135001
愛知環状鉄道線,八草,23211248123
愛知環状鉄道線,末野原,23211204012
愛知環状鉄道線,瀬戸市,23204188000
愛知環状鉄道線,三河上郷,23211051005
愛知環状鉄道線,北野桝塚,23202064125
愛知環状鉄道線,新豊田,23211069001
東海道線,相見,23501019101
愛知環状鉄道線,篠原,23211083123
愛知環状鉄道線,瀬戸口,23204243002
愛知環状鉄道線,愛環梅坪,23211182001
愛知環状鉄道線,四郷,23211088116
愛知環状鉄道線,貝津,23211043109
愛知環状鉄道線,北岡崎,23202001000
愛知環状鉄道線,岡崎,23202156113
愛知環状鉄道線,中岡崎,23202162101
愛知環状鉄道線,六名,23202213002
愛知環状鉄道線,三河豊田,23211150000
東部丘陵線,陶磁資料館南,23211248101
東部丘陵線,公園西,23238111000
東部丘陵線,愛・地球博記念公園,23238007000
東部丘陵線,芸大通,23238168000
東部丘陵線,長久手古戦場,23238184000
東部丘陵線,はなみずき通,23238030000
東部丘陵線,八草,23211248103
東部丘陵線,藤が丘,23115040000
名古屋線,伏屋,23110204003
名古屋線,近鉄名古屋,23105115001
名古屋線,烏森,23105013004
名古屋線,近鉄八田,23105095101
名古屋線,黄金,23105015008
名古屋線,米野,23105046001
名古屋線,佐古木,23235057003
名古屋線,近鉄蟹江,23425021011
名古屋線,戸田,23110206005
名古屋線,富吉,23425033004
名古屋線,近鉄弥富,23235014120
小牧線,小牧原,23219028000
愛知環状鉄道線,中水野,23204021002
城北線,小田井,23104104000
城北線,枇杷島,23233048B21
城北線,尾張星の宮,23233002108
城北線,勝川,23206037006
城北線,味美,23206095002
城北線,比良,23104079003
関西線,名古屋,23105115001
関西線,八田,23110131000
関西線,蟹江,23425003103
関西線,弥富,23235014118
関西線,永和,23232009103
関西線,春田,23110136003
名古屋本線,矢作橋,23202222133
西名古屋港線,荒子川公園,23111044002
中央線,高蔵寺,23206052004
中央線,春日井,23206070003
中央線,神領,23206071000
中央線,定光寺,23206080000
中央線,勝川,23206037008
中央線,大曽根,23102031000
中央線,名古屋,23105115001
中央線,千種,23101015003
中央線,金山,23106007001
中央線,鶴舞,23106017005
中央線,新守山,23113085000
東海道新幹線,名古屋,23105115001
東海道新幹線,三河安城,23212074001
