ファイル名,業態,市内外,組み合わせbits,組み合わせID,組み合わせ名,採用媒体数,採用媒体一覧,媒体,Shapley準拠_接触者平均,接触率,接触者数,重み付き貢献度,広告予算配分_推奨(RAW比),広告予算配分_推奨(0%下限正規化%)
1m1,宅配ピザ・宅配寿司,名古屋市内,1,C0001,折込,1,折込,折込,0.144671754,0.377222693,891,128.9025328,100,100
1m1,宅配ピザ・宅配寿司,名古屋市内,10,C0002,ポスティング,1,ポスティング,ポスティング,-0.056299956,0.555461473,1312,-73.86554218,100,0
1m1,宅配ピザ・宅配寿司,名古屋市内,11,C0003,折込+ポスティング,2,"折込,ポスティング",折込,0.13679453,0.377222693,891,121.8839263,194.0018117,100
1m1,宅配ピザ・宅配寿司,名古屋市内,11,C0003,折込+ポスティング,2,"折込,ポスティング",ポスティング,-0.045013527,0.555461473,1312,-59.05774685,-94.00181166,0
1m1,宅配ピザ・宅配寿司,名古屋市内,100,C0004,フリーペーパー,1,フリーペーパー,フリーペーパー,0.308163989,0.125317528,296,91.21654066,100,100
1m1,宅配ピザ・宅配寿司,名古屋市内,101,C0005,折込+フリーペーパー,2,"折込,フリーペーパー",折込,0.131197668,0.377222693,891,116.8971223,58.22518737,58.22518737
1m1,宅配ピザ・宅配寿司,名古屋市内,101,C0005,折込+フリーペーパー,2,"折込,フリーペーパー",フリーペーパー,0.283345112,0.125317528,296,83.87015316,41.77481263,41.77481263
1m1,宅配ピザ・宅配寿司,名古屋市内,110,C0006,ポスティング+フリーペーパー,2,"ポスティング,フリーペーパー",ポスティング,-0.068485818,0.555461473,1312,-89.85339304,-1156.422375,0
1m1,宅配ピザ・宅配寿司,名古屋市内,110,C0006,ポスティング+フリーペーパー,2,"ポスティング,フリーペーパー",フリーペーパー,0.329808578,0.125317528,296,97.62333896,1256.422375,100
1m1,宅配ピザ・宅配寿司,名古屋市内,111,C0007,折込+ポスティング+フリーペーパー,3,"折込,ポスティング,フリーペーパー",折込,0.120637094,0.377222693,891,107.4876504,88.66243579,54.37731562
